GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons library,pl.wrzasq.cform.commons.config,BaseLambdaResourcesFactory.lambdaHandler.2.new ResourceLambdaHandler() {...},17,0,0,0,5,0,3,0,3,0
Commons library,pl.wrzasq.cform.commons.config,BaseLambdaResourcesFactory,112,0,0,0,16,0,10,0,10,0
Commons library,pl.wrzasq.cform.commons.config,LambdaConfiguration,43,0,0,0,5,0,4,0,4,0
Commons library,pl.wrzasq.cform.commons,ResourceLambdaHandler,0,160,0,6,0,31,0,8,0,5
Commons library,pl.wrzasq.cform.commons.model,Tag,25,0,0,0,5,0,5,0,5,0
