GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.model,ResourceModel,23,83,4,0,5,23,4,22,2,22
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.model,ResourceModelKt,0,119,0,0,0,27,0,4,0,4
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.model,ResourceModel.Companion,2,2,0,0,1,1,1,1,1,1
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.action,ReadHandler,0,103,0,2,0,22,0,5,0,4
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.action,CreateHandler,0,129,0,2,0,27,0,6,0,5
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.action,DeleteHandler,0,119,0,2,0,28,0,6,0,5
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.config,LambdaResourcesFactory.getRequestTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.config,LambdaResourcesFactory,121,0,0,0,17,0,12,0,12,0
WrzasqPl::AWS::PasswordPolicy resource,pl.wrzasq.cform.resource.aws.passwordpolicy.config,LambdaResourcesFactory.getResourceTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
