GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl::Cognito::Client data provider/cform-commons,pl.wrzasq.cform.commons.config,BaseLambdaResourcesFactory.lambdaHandler.2.new ResourceLambdaHandler() {...},14,0,0,0,5,0,3,0,3,0
WrzasqPl::Cognito::Client data provider/cform-commons,pl.wrzasq.cform.commons.config,BaseLambdaResourcesFactory,112,0,0,0,16,0,10,0,10,0
WrzasqPl::Cognito::Client data provider/cform-commons,pl.wrzasq.cform.commons.config,LambdaConfiguration,40,0,0,0,5,0,4,0,4,0
WrzasqPl::Cognito::Client data provider/cform-commons,pl.wrzasq.cform.commons,ResourceLambdaHandler,0,126,0,6,0,30,0,8,0,5
WrzasqPl::Cognito::Client data provider/cform-commons,pl.wrzasq.cform.commons.model,Tag,19,0,0,0,3,0,5,0,5,0
